"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 17 12:16:50 ICT 2024","Wed Jul 17 12:16:55 ICT 2024","5618","chrome","myrecord.spec.ts","","","","test",""
"passed","Wed Jul 17 12:16:45 ICT 2024","Wed Jul 17 12:16:46 ICT 2024","900","edge","login.spec.ts","","","","has title",""
"passed","Wed Jul 17 12:16:43 ICT 2024","Wed Jul 17 12:16:55 ICT 2024","11566","webkit","myrecord.spec.ts","","","","test",""
"passed","Wed Jul 17 12:16:41 ICT 2024","Wed Jul 17 12:16:42 ICT 2024","1645","firefox","login.spec.ts","","","","get started link",""
"passed","Wed Jul 17 12:16:41 ICT 2024","Wed Jul 17 12:16:54 ICT 2024","12688","firefox","myrecord.spec.ts","","","","test",""
"passed","Wed Jul 17 12:16:39 ICT 2024","Wed Jul 17 12:16:40 ICT 2024","1285","chromium","login.spec.ts","","","","get started link",""
"passed","Wed Jul 17 12:16:47 ICT 2024","Wed Jul 17 12:16:55 ICT 2024","7131","edge","myrecord.spec.ts","","","","test",""
"passed","Wed Jul 17 12:16:39 ICT 2024","Wed Jul 17 12:16:40 ICT 2024","1523","firefox","login.spec.ts","","","","has title",""
"passed","Wed Jul 17 12:16:46 ICT 2024","Wed Jul 17 12:16:47 ICT 2024","928","edge","login.spec.ts","","","","get started link",""
"passed","Wed Jul 17 12:16:44 ICT 2024","Wed Jul 17 12:16:45 ICT 2024","1026","webkit","login.spec.ts","","","","get started link",""
"passed","Wed Jul 17 12:16:48 ICT 2024","Wed Jul 17 12:16:49 ICT 2024","758","chrome","login.spec.ts","","","","has title",""
"passed","Wed Jul 17 12:16:49 ICT 2024","Wed Jul 17 12:16:50 ICT 2024","884","chrome","login.spec.ts","","","","get started link",""
"passed","Wed Jul 17 12:16:39 ICT 2024","Wed Jul 17 12:16:40 ICT 2024","1028","chromium","login.spec.ts","","","","has title",""
"passed","Wed Jul 17 12:16:42 ICT 2024","Wed Jul 17 12:16:43 ICT 2024","1305","webkit","login.spec.ts","","","","has title",""
"passed","Wed Jul 17 12:16:39 ICT 2024","Wed Jul 17 12:16:46 ICT 2024","7642","chromium","myrecord.spec.ts","","","","test",""
